Unnamed: 0,Timestep,Lon,Lat,MSW,ECP,Timestamp
47,47,84.18,10.48,29.58,998.17,2023-12-01 23:30:00
48,48,84.1,10.5,30.0,998.0,2023-12-02 00:00:00
49,49,84.02,10.52,30.0,997.83,2023-12-02 00:30:00
50,50,83.93,10.53,30.0,997.67,2023-12-02 01:00:00
51,51,83.85,10.55,30.0,997.5,2023-12-02 01:30:00
52,52,83.77,10.57,30.0,997.33,2023-12-02 02:00:00
53,53,83.68,10.58,30.0,997.17,2023-12-02 02:30:00
54,54,83.6,10.6,30.0,997.0,2023-12-02 03:00:00
55,55,83.53,10.62,30.0,997.0,2023-12-02 03:30:00
56,56,83.47,10.63,30.0,997.0,2023-12-02 04:00:00
57,57,83.4,10.65,30.0,997.0,2023-12-02 04:30:00
58,58,83.33,10.67,30.0,997.0,2023-12-02 05:00:00
59,59,83.27,10.68,30.0,997.0,2023-12-02 05:30:00
60,60,83.2,10.7,30.0,997.0,2023-12-02 06:00:00
61,61,83.19,10.72,30.0,997.0,2023-12-02 06:30:00
62,62,83.18,10.73,30.0,997.0,2023-12-02 07:00:00
63,63,83.18,10.75,30.0,997.0,2023-12-02 07:30:00
64,64,83.17,10.77,30.0,997.0,2023-12-02 08:00:00
65,65,83.16,10.78,30.0,997.0,2023-12-02 08:30:00
66,66,83.15,10.8,30.0,997.0,2023-12-02 09:00:00
67,67,83.14,10.82,30.0,997.0,2023-12-02 09:30:00
68,68,83.13,10.83,30.0,997.0,2023-12-02 10:00:00
69,69,83.12,10.85,30.0,997.0,2023-12-02 10:30:00
70,70,83.12,10.87,30.0,997.0,2023-12-02 11:00:00
71,71,83.11,10.88,30.0,997.0,2023-12-02 11:30:00
72,72,83.1,10.9,30.0,997.0,2023-12-02 12:00:00
73,73,83.07,10.92,30.0,996.92,2023-12-02 12:30:00
74,74,83.03,10.93,30.0,996.83,2023-12-02 13:00:00
75,75,83.0,10.95,30.0,996.75,2023-12-02 13:30:00
76,76,82.97,10.97,30.0,996.67,2023-12-02 14:00:00
77,77,82.93,10.98,30.0,996.58,2023-12-02 14:30:00
78,78,82.9,11.0,30.0,996.5,2023-12-02 15:00:00
79,79,82.87,11.02,30.0,996.42,2023-12-02 15:30:00
80,80,82.83,11.03,30.0,996.33,2023-12-02 16:00:00
81,81,82.8,11.05,30.0,996.25,2023-12-02 16:30:00
82,82,82.77,11.07,30.0,996.17,2023-12-02 17:00:00
83,83,82.73,11.08,30.0,996.08,2023-12-02 17:30:00
84,84,82.7,11.1,30.0,996.0,2023-12-02 18:00:00
85,85,82.68,11.12,30.42,995.92,2023-12-02 18:30:00
86,86,82.67,11.15,30.83,995.83,2023-12-02 19:00:00
87,87,82.65,11.18,31.25,995.75,2023-12-02 19:30:00
88,88,82.63,11.2,31.67,995.67,2023-12-02 20:00:00
89,89,82.62,11.22,32.08,995.58,2023-12-02 20:30:00
90,90,82.6,11.25,32.5,995.5,2023-12-02 21:00:00
91,91,82.58,11.28,32.92,995.42,2023-12-02 21:30:00
92,92,82.57,11.3,33.33,995.33,2023-12-02 22:00:00
93,93,82.55,11.32,33.75,995.25,2023-12-02 22:30:00
94,94,82.53,11.35,34.17,995.17,2023-12-02 23:00:00
95,95,82.52,11.38,34.58,995.08,2023-12-02 23:30:00
96,96,82.5,11.4,35.0,995.0,2023-12-03 00:00:00
97,97,82.48,11.42,35.0,995.0,2023-12-03 00:30:00
98,98,82.47,11.43,35.0,995.0,2023-12-03 01:00:00
99,99,82.45,11.45,35.0,995.0,2023-12-03 01:30:00
100,100,82.43,11.47,35.0,995.0,2023-12-03 02:00:00
101,101,82.42,11.48,35.0,995.0,2023-12-03 02:30:00
102,102,82.4,11.5,35.0,995.0,2023-12-03 03:00:00
103,103,82.37,11.55,35.0,995.0,2023-12-03 03:30:00
104,104,82.33,11.6,35.0,995.0,2023-12-03 04:00:00
105,105,82.3,11.65,35.0,995.0,2023-12-03 04:30:00
106,106,82.27,11.7,35.0,995.0,2023-12-03 05:00:00
107,107,82.23,11.75,35.0,995.0,2023-12-03 05:30:00
108,108,82.2,11.8,35.0,995.0,2023-12-03 06:00:00
109,109,82.18,11.83,35.0,995.0,2023-12-03 06:30:00
110,110,82.17,11.87,35.0,995.0,2023-12-03 07:00:00
111,111,82.15,11.9,35.0,995.0,2023-12-03 07:30:00
112,112,82.13,11.93,35.0,995.0,2023-12-03 08:00:00
113,113,82.12,11.97,35.0,995.0,2023-12-03 08:30:00
114,114,82.1,12.0,35.0,995.0,2023-12-03 09:00:00
115,115,82.08,12.03,35.0,995.0,2023-12-03 09:30:00
116,116,82.07,12.07,35.0,995.0,2023-12-03 10:00:00
117,117,82.05,12.1,35.0,995.0,2023-12-03 10:30:00
118,118,82.03,12.13,35.0,995.0,2023-12-03 11:00:00
119,119,82.02,12.17,35.0,995.0,2023-12-03 11:30:00
120,120,82.0,12.2,35.0,995.0,2023-12-03 12:00:00
121,121,81.98,12.23,35.83,994.83,2023-12-03 12:30:00
122,122,81.97,12.27,36.67,994.67,2023-12-03 13:00:00
123,123,81.95,12.3,37.5,994.5,2023-12-03 13:30:00
124,124,81.93,12.33,38.33,994.33,2023-12-03 14:00:00
125,125,81.92,12.37,39.17,994.17,2023-12-03 14:30:00
126,126,81.9,12.4,40.0,994.0,2023-12-03 15:00:00
127,127,81.85,12.47,40.83,993.67,2023-12-03 15:30:00
128,128,81.8,12.53,41.67,993.33,2023-12-03 16:00:00
129,129,81.75,12.6,42.5,993.0,2023-12-03 16:30:00
130,130,81.7,12.67,43.33,992.67,2023-12-03 17:00:00
131,131,81.65,12.73,44.17,992.33,2023-12-03 17:30:00
132,132,81.6,12.8,45.0,992.0,2023-12-03 18:00:00
133,133,81.57,12.83,45.0,992.0,2023-12-03 18:30:00
134,134,81.53,12.87,45.0,992.0,2023-12-03 19:00:00
135,135,81.5,12.9,45.0,992.0,2023-12-03 19:30:00
136,136,81.47,12.93,45.0,992.0,2023-12-03 20:00:00
137,137,81.43,12.97,45.0,992.0,2023-12-03 20:30:00
138,138,81.4,13.0,45.0,992.0,2023-12-03 21:00:00
139,139,81.37,13.02,45.0,992.0,2023-12-03 21:30:00
140,140,81.33,13.03,45.0,992.0,2023-12-03 22:00:00
141,141,81.3,13.05,45.0,992.0,2023-12-03 22:30:00
142,142,81.27,13.07,45.0,992.0,2023-12-03 23:00:00
143,143,81.23,13.08,45.0,992.0,2023-12-03 23:30:00
144,144,81.2,13.1,45.0,992.0,2023-12-04 00:00:00
145,145,81.17,13.13,45.83,991.33,2023-12-04 00:30:00
146,146,81.13,13.17,46.67,990.67,2023-12-04 01:00:00
147,147,81.1,13.2,47.5,990.0,2023-12-04 01:30:00
148,148,81.07,13.23,48.33,989.33,2023-12-04 02:00:00
149,149,81.03,13.27,49.17,988.67,2023-12-04 02:30:00
150,150,81.0,13.3,50.0,988.0,2023-12-04 03:00:00
151,151,80.97,13.33,50.0,988.0,2023-12-04 03:30:00
152,152,80.93,13.37,50.0,988.0,2023-12-04 04:00:00
153,153,80.9,13.4,50.0,988.0,2023-12-04 04:30:00
154,154,80.87,13.43,50.0,988.0,2023-12-04 05:00:00
155,155,80.83,13.47,50.0,988.0,2023-12-04 05:30:00
156,156,80.8,13.5,50.0,988.0,2023-12-04 06:00:00
157,157,80.78,13.53,50.0,988.0,2023-12-04 06:30:00
158,158,80.77,13.57,50.0,988.0,2023-12-04 07:00:00
159,159,80.75,13.6,50.0,988.0,2023-12-04 07:30:00
160,160,80.73,13.63,50.0,988.0,2023-12-04 08:00:00
161,161,80.72,13.67,50.0,988.0,2023-12-04 08:30:00
162,162,80.7,13.7,50.0,988.0,2023-12-04 09:00:00
163,163,80.67,13.75,50.83,987.67,2023-12-04 09:30:00
164,164,80.63,13.8,51.67,987.33,2023-12-04 10:00:00
165,165,80.6,13.85,52.5,987.0,2023-12-04 10:30:00
166,166,80.57,13.9,53.33,986.67,2023-12-04 11:00:00
167,167,80.53,13.95,54.17,986.33,2023-12-04 11:30:00
168,168,80.5,14.0,55.0,986.0,2023-12-04 12:00:00
169,169,80.48,14.05,55.0,986.0,2023-12-04 12:30:00
170,170,80.47,14.1,55.0,986.0,2023-12-04 13:00:00
171,171,80.45,14.15,55.0,986.0,2023-12-04 13:30:00
172,172,80.43,14.2,55.0,986.0,2023-12-04 14:00:00
173,173,80.42,14.25,55.0,986.0,2023-12-04 14:30:00
174,174,80.4,14.3,55.0,986.0,2023-12-04 15:00:00
175,175,80.38,14.33,54.17,986.33,2023-12-04 15:30:00
176,176,80.37,14.37,53.33,986.67,2023-12-04 16:00:00
177,177,80.35,14.4,52.5,987.0,2023-12-04 16:30:00
178,178,80.33,14.43,51.67,987.33,2023-12-04 17:00:00
179,179,80.32,14.47,50.83,987.67,2023-12-04 17:30:00
180,180,80.3,14.5,50.0,988.0,2023-12-04 18:00:00
181,181,80.28,14.53,50.0,988.0,2023-12-04 18:30:00
182,182,80.27,14.57,50.0,988.0,2023-12-04 19:00:00
183,183,80.25,14.6,50.0,988.0,2023-12-04 19:30:00
184,184,80.23,14.63,50.0,988.0,2023-12-04 20:00:00
185,185,80.22,14.67,50.0,988.0,2023-12-04 20:30:00
186,186,80.2,14.7,50.0,988.0,2023-12-04 21:00:00
187,187,80.2,14.73,50.0,988.0,2023-12-04 21:30:00
188,188,80.2,14.77,50.0,988.0,2023-12-04 22:00:00
189,189,80.2,14.8,50.0,988.0,2023-12-04 22:30:00
190,190,80.2,14.83,50.0,988.0,2023-12-04 23:00:00
191,191,80.2,14.87,50.0,988.0,2023-12-04 23:30:00
192,192,80.2,14.9,50.0,988.0,2023-12-05 00:00:00
193,193,80.2,14.95,50.0,988.0,2023-12-05 00:30:00
194,194,80.2,15.0,50.0,988.0,2023-12-05 01:00:00
195,195,80.2,15.05,50.0,988.0,2023-12-05 01:30:00
196,196,80.2,15.1,50.0,988.0,2023-12-05 02:00:00
197,197,80.2,15.15,50.0,988.0,2023-12-05 02:30:00
198,198,80.2,15.2,50.0,988.0,2023-12-05 03:00:00
199,199,80.22,15.25,50.0,988.0,2023-12-05 03:30:00
200,200,80.23,15.3,50.0,988.0,2023-12-05 04:00:00
201,201,80.25,15.35,50.0,988.0,2023-12-05 04:30:00
202,202,80.27,15.4,50.0,988.0,2023-12-05 05:00:00
203,203,80.28,15.45,50.0,988.0,2023-12-05 05:30:00
204,204,80.3,15.5,50.0,988.0,2023-12-05 06:00:00
205,205,80.3,15.55,50.0,988.33,2023-12-05 06:30:00
206,206,80.3,15.6,50.0,988.67,2023-12-05 07:00:00
207,207,80.3,15.65,50.0,989.0,2023-12-05 07:30:00
208,208,80.3,15.7,50.0,989.33,2023-12-05 08:00:00
209,209,80.3,15.75,50.0,989.67,2023-12-05 08:30:00
210,210,80.3,15.8,50.0,990.0,2023-12-05 09:00:00
211,211,80.3,15.83,48.33,991.0,2023-12-05 09:30:00
212,212,80.3,15.87,46.67,992.0,2023-12-05 10:00:00
213,213,80.3,15.9,45.0,993.0,2023-12-05 10:30:00
214,214,80.3,15.93,43.33,994.0,2023-12-05 11:00:00
215,215,80.3,15.97,41.67,995.0,2023-12-05 11:30:00
216,216,80.3,16.0,40.0,996.0,2023-12-05 12:00:00
217,217,80.32,16.07,39.17,996.33,2023-12-05 12:30:00
218,218,80.33,16.13,38.33,996.67,2023-12-05 13:00:00
219,219,80.35,16.2,37.5,997.0,2023-12-05 13:30:00
220,220,80.37,16.27,36.67,997.33,2023-12-05 14:00:00
221,221,80.38,16.33,35.83,997.67,2023-12-05 14:30:00
222,222,80.4,16.4,35.0,998.0,2023-12-05 15:00:00
223,223,80.4,16.47,34.17,998.33,2023-12-05 15:30:00
224,224,80.4,16.53,33.33,998.67,2023-12-05 16:00:00
225,225,80.4,16.6,32.5,999.0,2023-12-05 16:30:00
226,226,80.4,16.67,31.67,999.33,2023-12-05 17:00:00
227,227,80.4,16.73,30.83,999.67,2023-12-05 17:30:00
228,228,80.4,16.8,30.0,1000.0,2023-12-05 18:00:00
229,229,80.42,16.9,28.33,1000.0,2023-12-05 18:30:00
230,230,80.43,17.0,26.67,1001.0,2023-12-05 19:00:00
231,231,80.45,17.1,25.0,1002.0,2023-12-05 19:30:00
232,232,80.47,17.2,23.33,1002.0,2023-12-05 20:00:00
233,233,80.48,17.3,21.67,1002.0,2023-12-05 20:30:00
234,234,80.5,17.4,20.0,1002.0,2023-12-05 21:00:00
